bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 12-06-2023 18:40:37
*B0 B1 0000001DB0 12-06-2023 19:40:37
*B0 B1 0000001DB0 12-06-2023 20:40:37
*B0 B1 0000001DB0 12-06-2023 21:40:37
*B0 B1 0000001DB0 12-06-2023 22:40:37
*B0 B1 0000001DB0 12-06-2023 23:40:38
*B0 B1 0000001DB0 13-06-2023 00:40:38
*B0 B1 0000001DB0 13-06-2023 01:40:38
*B0 B1 0000001DB0 13-06-2023 02:40:39
*B0 B1 0000001DB0 13-06-2023 04:40:39
*B0 B1 0000001DB0 13-06-2023 05:40:39
*B0 B1 0000001DB0 13-06-2023 06:40:40
*B0 B1 003E4048C2 13-06-2023 07:30:41
*B0 B1 0000001DB0 13-06-2023 08:40:40
*B0 B1 003E404282 13-06-2023 09:40:03
*B0 B1 0000001DB0 13-06-2023 09:40:40
*B0 B1 0000001DB0 13-06-2023 10:40:41
*B0 B1 0000001DB0 13-06-2023 11:40:41
*B0 B1 0000001DB0 13-06-2023 12:40:41
*B0 B1 0000001DB0 13-06-2023 13:40:41
*B0 B1 0000001DB0 13-06-2023 14:40:41
*B0 B1 0000001DB0 13-06-2023 15:40:42
*B0 B1 0000001DB0 13-06-2023 16:40:42
*B0 B1 0000001DB0 13-06-2023 17:40:42
*B0 B1 0000001DB0 13-06-2023 18:40:42
*B0 B1 0000001DB0 13-06-2023 19:40:43
*B0 B1 0000001DB0 13-06-2023 20:40:43
*B0 B1 0000001DB0 13-06-2023 21:40:43
*B0 B1 0000001DB0 13-06-2023 22:40:44
*B0 B1 0000001DB0 13-06-2023 23:40:44
*B0 B1 0000001DB0 14-06-2023 00:40:44
*B0 B1 0000001DB0 14-06-2023 01:40:44
*B0 B1 0000001DB0 14-06-2023 02:40:45
*B0 B1 0000001DB0 14-06-2023 03:40:45
*B0 B1 0000001DB0 14-06-2023 04:40:45
*B0 B1 0000001DB0 14-06-2023 05:40:46
*B0 B1 0000001DB0 14-06-2023 06:40:46
*B0 B1 0000001DB0 14-06-2023 07:40:46
*B0 B1 0000001DB0 14-06-2023 08:40:47
*B0 B1 003E4043A5 14-06-2023 08:59:09
*B0 B1 0000001DB0 14-06-2023 09:40:47
*B0 B1 0000001DB0 14-06-2023 11:40:47
*B0 B1 0000001DB0 14-06-2023 12:40:48
*B0 B1 0000001DB0 14-06-2023 13:40:48
*B0 B1 0000001DB0 14-06-2023 14:40:48
*B0 B1 0000001DB0 14-06-2023 15:40:48
*B0 B1 0000001DB0 14-06-2023 16:40:49
*B0 B1 0000001DB0 14-06-2023 17:40:49
*B0 B1 0000001DB0 14-06-2023 18:40:49
*B0 B1 0000001DB0 14-06-2023 19:40:49
*B0 B1 003E4043BA 14-06-2023 19:50:40
*B0 B1 0000001DB0 14-06-2023 20:40:50
*B0 B1 0000001DB0 14-06-2023 21:40:50
*B0 B1 0000001DB0 14-06-2023 22:40:50
*B0 B1 0000001DB0 14-06-2023 23:40:51
*B0 B1 0000001DB0 15-06-2023 00:40:51
*B0 B1 0000001DB0 15-06-2023 01:40:51
*B0 B1 0000001DB0 15-06-2023 03:40:52
*B0 B1 0000001DB0 15-06-2023 04:40:52
*B0 B1 0000001DB0 15-06-2023 05:40:52
*B0 B1 0000001DB0 15-06-2023 06:40:53
*B0 B1 0000001DB0 15-06-2023 07:40:53
*B0 B1 0000001DB0 15-06-2023 08:40:53
*B0 B1 0000001DB0 15-06-2023 09:40:54
*B0 B1 0000001DB0 15-06-2023 10:40:54
*B0 B1 0000001DB0 15-06-2023 11:40:54
*B0 B1 0000001DB0 15-06-2023 12:40:54
*B0 B1 0000001DB0 15-06-2023 13:40:54
*B0 B1 0000001DB0 15-06-2023 14:40:55
*B0 B1 0000001DB0 15-06-2023 15:40:55
*B0 B1 0000001DB0 15-06-2023 16:40:55
*B0 B1 0000001DB0 15-06-2023 17:40:55
*B0 B1 0000001DB0 15-06-2023 18:40:56
*B0 B1 0000001DB0 15-06-2023 19:40:56
*B0 B1 0000001DB0 15-06-2023 20:40:56
